Date,Purchase,Redeem
20130701,32488348.0,5525022.0
20130702,29037390.0,2554548.0
20130703,27270770.0,5953867.0
20130704,18321185.0,6410729.0
20130705,11648749.0,2763587.0
20130706,36751272.0,1616635.0
20130707,8962232.0,3982735.0
20130708,57258266.0,8347729.0
20130709,26798941.0,3473059.0
20130710,30696506.0,2597169.0
20130711,44075197.0,3508800.0
20130712,34183904.0,8492573.0
20130713,15164717.0,3482829.0
20130714,22615303.0,2784107.0
20130715,48128555.0,13107943.0
20130716,50622847.0,11864981.0
20130717,29015682.0,10911513.0
20130718,24234505.0,11765356.0
20130719,33680124.0,9244769.0
20130720,20439079.0,4601143.0
20130721,21142394.0,2681331.0
20130722,40448896.0,19144267.0
20130723,58136147.0,24404051.0
20130724,48422518.0,36258592.0
20130725,57433418.0,38212836.0
20130726,44721817.0,39192369.0
20130727,17194451.0,15058893.0
20130728,36255382.0,7683211.0
20130729,53512076.0,18599364.0
20130730,47481243.0,13048582.0
20130731,54569637.0,9534040.0
20130801,53369962.0,18864468.0
20130802,38064536.0,40150769.0
20130803,21595789.0,20701797.0
20130804,45745254.0,8263965.0
20130805,43632203.0,15797507.0
20130806,50866184.0,16401387.0
20130807,43908081.0,29708706.0
20130808,44493490.0,29551691.0
20130809,33425186.0,30131015.0
20130810,20615307.0,26614408.0
20130811,55519543.0,15372680.0
20130812,94520502.0,28586669.0
20130813,48720919.0,28790328.0
20130814,30541167.0,15031683.0
20130815,42421222.0,52659327.0
20130816,41683536.0,33739844.0
20130817,17670519.0,4674983.0
20130818,59703092.0,15218300.0
20130819,109184209.0,28339260.0
20130820,53675509.0,30131225.0
20130821,38184446.0,29983342.0
20130822,89130737.0,25000672.0
20130823,37878575.0,25680323.0
20130824,44367268.0,14316598.0
20130825,43306288.0,18117808.0
20130826,74496541.0,20637986.0
20130827,45268028.0,60137633.0
20130828,46602319.0,33696861.0
20130829,47518666.0,35944968.0
20130830,56488844.0,20630752.0
20130831,47655303.0,22012016.0
20130901,56239802.0,59339949.0
20130902,140844739.0,17785524.0
20130903,80507880.0,39328144.0
20130904,33366708.0,27452600.0
20130905,38716505.0,21800904.0
20130906,38923186.0,33417903.0
20130907,34076183.0,20344424.0
20130908,38796909.0,14919122.0
20130909,49312473.0,45621186.0
20130910,94684143.0,37128363.0
20130911,98944459.0,71674082.0
20130912,68573684.0,45147220.0
20130913,71655946.0,60512675.0
20130914,30975443.0,36312660.0
20130915,37059683.0,25020715.0
20130916,161656210.0,45184589.0
20130917,76204815.0,58260798.0
20130918,42926608.0,47203221.0
20130919,24778048.0,11418512.0
20130920,28365762.0,15188254.0
20130921,32406340.0,26596179.0
20130922,67514169.0,47962055.0
20130923,54658160.0,58285879.0
20130924,74250859.0,56680792.0
20130925,47274168.0,74838162.0
20130926,68718693.0,48467529.0
20130927,42166121.0,27639603.0
20130928,39995798.0,58105720.0
20130929,34433848.0,40295202.0
20130930,28398050.0,30181353.0
20131001,19137499.0,12813267.0
20131002,11562708.0,7233874.0
20131003,10101194.0,6223263.0
20131004,19907689.0,23412350.0
20131005,26364686.0,13966453.0
20131006,38730653.0,13464528.0
20131007,42797733.0,28894400.0
20131008,109806912.0,77856096.0
20131009,72422299.0,33999376.0
20131010,72094613.0,52244531.0
20131011,82674757.0,27666473.0
20131012,81901136.0,31322983.0
20131013,71149981.0,31850475.0
20131014,130315300.0,40652625.0
20131015,85704304.0,35099198.0
20131016,100948091.0,51261982.0
20131017,87203217.0,23274764.0
20131018,98151450.0,15938355.0
20131019,53148443.0,26684697.0
20131020,47766681.0,50884342.0
20131021,106030290.0,45781403.0
20131022,145611496.0,96172537.0
20131023,106093112.0,73788462.0
20131024,69530830.0,58183921.0
20131025,69936453.0,52225802.0
20131026,55752506.0,49357211.0
20131027,68007543.0,46520570.0
20131028,129993375.0,55089464.0
20131029,102050144.0,43052468.0
20131030,109663260.0,63908701.0
20131031,90926701.0,55607833.0
20131101,150904945.0,66933119.0
20131102,62132300.0,26705506.0
20131103,68707870.0,30895754.0
20131104,300027403.0,130970051.0
20131105,180904814.0,82689864.0
20131106,181474910.0,131707820.0
20131107,167963464.0,83306452.0
20131108,231749471.0,92856307.0
20131109,126467028.0,45885771.0
20131110,164813471.0,85293644.0
20131111,147986439.0,227124951.0
20131112,148469647.0,131263524.0
20131113,174554976.0,79121440.0
20131114,167996058.0,52554150.0
20131115,124270704.0,58210254.0
20131116,118085705.0,28996272.0
20131117,111786622.0,42358155.0
20131118,195766477.0,136916782.0
20131119,131365419.0,70308235.0
20131120,166163002.0,86951218.0
20131121,221166938.0,74733962.0
20131122,128528687.0,82717921.0
20131123,89109018.0,48882131.0
20131124,102394991.0,85555947.0
20131125,147143602.0,70113127.0
20131126,258037702.0,65802983.0
20131127,134774128.0,86129498.0
20131128,139760425.0,61453591.0
20131129,122536344.0,123982166.0
20131130,116865492.0,119660311.0
20131201,137889992.0,94632233.0
20131202,345313258.0,128465086.0
20131203,268666856.0,101662045.0
20131204,219456372.0,69981329.0
20131205,190825287.0,118256819.0
20131206,152197159.0,82625571.0
20131207,138882605.0,71916047.0
20131208,124886903.0,76314292.0
20131209,174652812.0,133355299.0
20131210,179471612.0,147147341.0
20131211,239916977.0,110314592.0
20131212,140360007.0,92090275.0
20131213,164672690.0,90778214.0
20131214,129045596.0,52234651.0
20131215,205882387.0,54757146.0
20131216,196489931.0,156157326.0
20131217,193980797.0,116537843.0
20131218,180215804.0,202220872.0
20131219,233631357.0,164023344.0
20131220,133867400.0,153678963.0
20131221,112000779.0,83151594.0
20131222,154543217.0,83998249.0
20131223,198747367.0,138478245.0
20131224,305406334.0,118607911.0
20131225,380076148.0,172755480.0
20131226,220287409.0,241852564.0
20131227,211118967.0,163522548.0
20131228,192808006.0,61383220.0
20131229,161473347.0,55129989.0
20131230,286358778.0,179826624.0
20131231,265851934.0,134232530.0
20140101,330926565.0,77367755.0
20140102,434956739.0,190155450.0
20140103,342074805.0,127714255.0
20140104,186085910.0,99869074.0
20140105,206030707.0,156781996.0
20140106,442494042.0,190917629.0
20140107,589726496.0,137972793.0
20140108,264025160.0,213880074.0
20140109,280698487.0,140391237.0
20140110,237797636.0,117259153.0
20140111,243403438.0,71530182.0
20140112,228255344.0,141505812.0
20140113,447207050.0,178923772.0
20140114,356907128.0,159778389.0
20140115,391408718.0,177618247.0
20140116,374947083.0,153167426.0
20140117,345426853.0,127385210.0
20140118,233200688.0,142869842.0
20140119,185082022.0,117629351.0
20140120,335761027.0,442996084.0
20140121,412854611.0,302825136.0
20140122,498730606.0,292856188.0
20140123,481450097.0,209024328.0
20140124,614103894.0,345829001.0
20140125,440854623.0,185524856.0
20140126,528402520.0,331752519.0
20140127,657199484.0,280645861.0
20140128,843424742.0,248334316.0
20140129,952479658.0,215164666.0
20140130,227916211.0,105288105.0
20140131,87324175.0,48132389.0
20140201,64287172.0,61527060.0
20140202,57912761.0,24395720.0
20140203,84329848.0,46109194.0
20140204,83653646.0,44927333.0
20140205,209043990.0,95407704.0
20140206,227860276.0,111635336.0
20140207,578818221.0,273482213.0
20140208,358255468.0,183432237.0
20140209,341911234.0,262954049.0
20140210,647465140.0,431753411.0
20140211,818803205.0,243058162.0
20140212,763009770.0,354585919.0
20140213,626698794.0,362757986.0
20140214,490710434.0,263261899.0
20140215,255393179.0,121463693.0
20140216,331324628.0,183057224.0
20140217,706118060.0,405809267.0
20140218,593563145.0,271125324.0
20140219,408367966.0,323990451.0
20140220,478925191.0,230855410.0
20140221,353981687.0,178914448.0
20140222,282022706.0,134735118.0
20140223,337053711.0,195214052.0
20140224,656317045.0,473470156.0
20140225,563505889.0,299155352.0
20140226,680801145.0,284819682.0
20140227,672909288.0,492786036.0
20140228,428721754.0,322030204.0
20140301,362865580.0,211279011.0
20140302,276202230.0,246199417.0
20140303,505305862.0,513017360.0
20140304,524146340.0,250562978.0
20140305,454295491.0,209072753.0
20140306,561787770.0,243149884.0
20140307,380139779.0,291087220.0
20140308,243274169.0,140323202.0
20140309,244752519.0,206312503.0
20140310,497338076.0,308040624.0
20140311,430500816.0,496039886.0
20140312,377007897.0,416491268.0
20140313,346286910.0,316973542.0
20140314,315897431.0,311575572.0
20140315,287407002.0,242799048.0
20140316,269387391.0,390584547.0
20140317,339008082.0,440624592.0
20140318,435479117.0,410240726.0
20140319,359014064.0,429298917.0
20140320,365011495.0,336076380.0
20140321,282351818.0,259655286.0
20140322,191700135.0,138039412.0
20140323,167456369.0,186443311.0
20140324,313180334.0,437825259.0
20140325,314345006.0,312710515.0
20140326,272935544.0,450254233.0
20140327,266231082.0,359071642.0
20140328,225966355.0,405443946.0
20140329,160250985.0,155006056.0
20140330,205533934.0,264714811.0
20140331,398884905.0,423852634.0
20140401,453320585.0,277429358.0
20140402,355347118.0,272612066.0
20140403,363877120.0,266605457.0
20140404,251895894.0,200192637.0
20140405,202336542.0,163199682.0
20140406,129477254.0,139576683.0
20140407,196936223.0,176966561.0
20140408,354770149.0,250015131.0
20140409,383347565.0,289330278.0
20140410,386567460.0,286914864.0
20140411,237829882.0,277077434.0
20140412,177642053.0,123295320.0
20140413,208172985.0,178934722.0
20140414,309853269.0,415986984.0
20140415,428681231.0,285293076.0
20140416,387847838.0,255914640.0
20140417,355792647.0,265341592.0
20140418,239300383.0,225952909.0
20140419,268729366.0,146374940.0
20140420,191259529.0,161057781.0
20140421,301134667.0,295635256.0
20140422,285248757.0,268810141.0
